model,lambda_c,fold,strategy,n_interventions,accuracy,run_id,run_name,source_summary_key
CEM,0.1,2,random,14,0.8350419384902144,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,15,0.8355744907469045,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,16,0.8357076288110771,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,17,0.8355744907469045,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,0,0.8318466249500732,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,1,0.8321129010784183,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,2,0.8325123152709359,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,3,0.8330448675276262,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,4,0.8331780055917987,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,5,0.8333111436559713,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,6,0.8337105578484889,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,7,0.8334442817201438,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,8,0.834243110105179,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,9,0.834243110105179,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,10,0.8350419384902144,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,11,0.8357076288110771,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,12,0.8362401810677673,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,13,0.8365064571961124,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,14,0.83690587138863,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,15,0.8371721475169751,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,16,0.8377046997736652,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,3,random,17,0.8379709759020104,jdduxky0,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,0,0.8266542404473439,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,1,0.8273199307682066,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,2,0.8278524830248968,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,3,0.8278524830248968,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,4,0.8287844494741047,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,5,0.8294501397949674,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,6,0.8298495539874851,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,7,0.8301158301158301,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,8,0.8303821062441752,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,9,0.8306483823725203,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,10,0.8311809346292105,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,11,0.8315803488217282,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,12,0.8317134868859006,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,13,0.8322460391425909,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,14,0.8333111436559713,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,15,0.8333111436559713,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,16,0.8338436959126614,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,4,random,17,0.8341099720410066,766goenz,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_4,interv/random_group_level_True_use_prior_False/curve_table
